"unigram","bigram","freq"
"enough","to",177
"is","just",177
"is","no",177
"my","own",177
"first","time",176
"for","it",176
"he","said",176
"if","the",176
"the","top",176
"and","to",175
"happy","birthday",175
"like","it",175
"out","there",174
"up","for",174
"who","is",174
"on","twitter",173
"you","in",173
"does","not",172
"fact","that",172
"is","one",172
"my","mom",172
"than","the",172
"to","our",172
"up","a",172
"wouldn","t",172
"decided","to",171
"from","my",171
"he","has",171
"love","it",171
"the","right",171
"get","it",170
"i","should",170
"looks","like",170
"when","he",170
"and","get",169
"if","we",169
"ready","for",169
"to","watch",169
"for","our",168
"i","still",168
"t","want",168
"was","so",168
"being","a",167
"good","morning",167
"like","that",167
"of","her",167
"when","they",167
"you","could",167
"have","no",166
"it","a",166
"we","need",166
"you","like",166
"you","were",166
"each","other",165
"for","that",164
"i","wanted",164
"so","we",164
"think","it",164
"to","it",164
"in","that",163
"on","his",163
"this","time",163
"all","i",162
"going","on",162
"how","i",162
"just","got",161
"make","sure",161
"say","that",161
"a","while",160
"as","it",160
"i","used",160
"on","it",160
"out","and",160
"the","show",160
"think","that",160
"to","this",160
"i","saw",159
"of","people",159
"the","follow",159
"and","she",158
"because","it",158
"but","you",158
"had","been",158
"i","went",158
"in","an",158
"this","one",158
"time","for",158
"it","up",157
"tell","you",157
"the","house",157
"there","were",157
"to","try",157
"a","day",156
"it","on",156
"makes","me",156
"my","first",156
"that","she",156
"that","would",156
"will","have",156
"can","get",155
"in","fact",155
"them","to",155
"you","a",155
"i","mean",154
"last","week",154
"listening","to",154
"think","of",154
"was","not",154
"all","day",153
"better","than",153
"down","the",153
"hard","to",153
"i","also",153
"according","to",152
"must","be",152
"you","all",152
"about","a",151
"after","a",151
"m","a",151
"such","as",151
"that","a",151
"this","was",151
"wish","i",151
"working","on",151
"and","is",150
"rest","of",150
"that","will",150
"their","own",150
"to","put",150
"what","do",150
"a","small",149
"away","from",149
"for","some",149
"i","never",149
"listen","to",149
"are","so",148
"as","we",148
"bit","of",148
"how","many",148
"needs","to",148
"the","book",148
"we","ve",148
"where","i",148
"with","your",148
"make","the",147
"my","new",147
"to","her",147
"to","meet",147
"-","i",146
"even","though",146
"what","we",146
"with","some",146
"and","have",145
"and","other",145
"as","you",145
"but","that",145
"good","luck",145
"i","always",145
"not","sure",145
"those","who",145
"all","that",144
"as","they",144
"had","the",144
"not","only",144
"so","you",144
"the","city",144
"to","read",144
"to","win",144
"and","more",143
"and","so",143
"but","we",143
"can","do",143
"can","i",143
"even","if",143
"is","on",143
"m","so",143
"you","just",143
"a","week",142
"day","of",142
"s","day",142
"tell","me",142
"that","are",142
"today","i",142
"as","much",141
"here","in",141
"in","order",141
"is","what",141
"on","that",141
"to","live",141
"to","tell",141
"you","ve",141
"due","to",140
"like","this",140
"out","for",140
"t","think",140
"they","can",140
"to","stop",140
"you","see",140
"in","and",139
"life","is",139
