"unigram","bigram","trigram","freq"
"u","going","to",4
"u","talking","about",4
"under","the","influence",4
"under","the","sun",4
"under","the","weather",4
"understand","how","much",4
"understand","why","he",4
"understand","why","i",4
"understand","why","people",4
"university","of","chicago",4
"unless","they","are",4
"unless","you","have",4
"until","next","year",4
"until","the","day",4
"up","&","get",4
"up","a","copy",4
"up","a","few",4
"up","all","the",4
"up","and","go",4
"up","and","let",4
"up","and","over",4
"up","at","4",4
"up","at","www",4
"up","for","all",4
"up","for","another",4
"up","i","have",4
"up","i","think",4
"up","in","here",4
"up","in","your",4
"up","into","the",4
"up","is","a",4
"up","last","night",4
"up","next","to",4
"up","on","it",4
"up","on","us",4
"up","some","of",4
"up","this","is",4
"up","to","do",4
"up","with","all",4
"up","with","an",4
"up","with","these",4
"us","a","call",4
"us","all","a",4
"us","and","the",4
"us","as","a",4
"us","as","we",4
"us","for","details",4
"us","have","a",4
"us","have","to",4
"us","it","was",4
"us","out","of",4
"us","out","on",4
"us","some","of",4
"us","thank","you",4
"us","to","have",4
"us","we","ll",4
"us","we","re",4
"us","what","you",4
"us","with","the",4
"us","your","questions",4
"use","it","as",4
"use","the","bathroom",4
"use","to","be",4
"used","by","the",4
"used","to","do",4
"ve","always","been",4
"ve","become","a",4
"ve","been","asked",4
"ve","been","busy",4
"ve","been","getting",4
"ve","been","meaning",4
"ve","been","told",4
"ve","decided","that",4
"ve","ever","had",4
"ve","ever","heard",4
"ve","ever","tasted",4
"ve","found","a",4
"ve","found","that",4
"ve","gone","to",4
"ve","had","my",4
"ve","heard","of",4
"ve","said","it",4
"very","cool","i",4
"very","happy","for",4
"very","happy","with",4
"very","hard","to",4
"very","much","a",4
"very","pleased","with",4
"very","very","good",4
"wait","for","a",4
"wait","for","this",4
"wait","for","tomorrow",4
"wait","that","s",4
"wait","to","watch",4
"wait","until","the",4
"waited","for","the",4
"waiting","for","us",4
"waiting","for","your",4
"waiting","in","the",4
"waiting","on","the",4
"waiting","to","get",4
"walk","away","from",4
"want","him","to",4
"want","in","the",4
"want","the","best",4
"want","to","become",4
"want","to","bring",4
"want","to","but",4
"want","to","continue",4
"want","to","eat",4
"want","to","escape",4
"want","to","feel",4
"want","to","hold",4
"want","to","meet",4
"want","to","scream",4
"want","to","stop",4
"want","to","you",4
"want","us","to",4
"wanted","him","to",4
"wanted","to","have",4
"wanted","to","tell",4
"wanted","to","use",4
"wanting","to","do",4
"wants","to","hear",4
"wants","to","know",4
"wants","you","to",4
"was","a","bad",4
"was","a","blast",4
"was","a","challenge",4
"was","a","disaster",4
"was","a","fun",4
"was","a","perfect",4
"was","a","small",4
"was","a","special",4
"was","a","time",4
"was","a","tough",4
"was","added","to",4
"was","all","i",4
"was","attached","to",4
"was","born","to",4
"was","built","on",4
"was","but","i",4
"was","charged","with",4
"was","diagnosed","with",4
"was","dying","to",4
"was","even","more",4
"was","finally","able",4
"was","fun","and",4
"was","getting","a",4
"was","gone","i",4
"was","great","seeing",4
"was","here","i",4
"was","in","her",4
"was","in","his",4
"was","inspired","by",4
"was","just","so",4
"was","just","that",4
"was","made","from",4
"was","made","in",4
"was","never","a",4
"was","not","enough",4
"was","on","his",4
"was","on","there",4
"was","out","on",4
"was","perfect","for",4
"was","planning","on",4
"was","pretty","good",4
"was","probably","the",4
"was","put","on",4
"was","really","neat",4
"was","released","in",4
"was","responsible","for",4
"was","sitting","on",4
"was","so","happy",4
"was","something","i",4
"was","still","in",4
"was","taken","to",4
"was","telling","me",4
"was","the","perfect",4
"was","the","right",4
"was","there","a",4
"was","there","for",4
"was","there","to",4
"was","to","get",4
"was","told","by",4
"was","used","to",4
"was","very","much",4
"was","way","too",4
"was","wondering","if",4
"was","worth","it",4
"was","your","day",4
"washington","d","c",4
"wasn","t","for",4
"wasn","t","on",4
"wasn","t","really",4
"wasn","t","the",4
"wasn’t","able","to",4
"watching","the","movie",4
"water","on","the",4
"way","and","the",4
"way","back","in",4
"way","home","from",4
"way","i","am",4
"way","i","can",4
"way","i","like",4
"way","i","see",4
"way","i","ve",4
"way","in","the",4
"way","it","was",4
"way","to","a",4
"way","to","give",4
"way","to","help",4
"way","to","school",4
"way","to","use",4
"way","to","work",4
"way","you","are",4
"ways","to","get",4
"we","all","had",4
"we","appreciate","the",4
"we","are","doing",4
"we","are","done",4
"we","are","following",4
"we","are","planning",4
"we","are","proud",4
"we","arrived","at",4
"we","both","know",4
"we","can","change",4
"we","can","either",4
"we","can","move",4
"we","can","play",4
"we","can","send",4
"we","could","all",4
"we","could","do",4
"we","could","use",4
"we","d","like",4
"we","did","not",4
"we","do","to",4
"we","find","the",4
"we","found","love",4
"we","get","some",4
"we","go","through",4
"we","got","back",4
"we","got","home",4
"we","got","some",4
"we","have","all",4
"we","have","and",4
"we","have","more",4
"we","hope","your",4
"we","just","had",4
"we","knew","that",4
"we","ll","give",4
"we","ll","miss",4
"we","love","our",4
"we","made","a",4
"we","managed","to",4
"we","might","have",4
"we","must","do",4
"we","need","is",4
"we","need","you",4
"we","put","the",4
"we","re","friends",4
"we","re","happy",4
"we","re","here",4
"we","re","very",4
"we","really","do",4
"we","see","that",4
"we","set","up",4
"we","should","just",4
"we","still","do",4
"we","talk","about",4
"we","talked","about",4
"we","ve","done",4
"we","want","it",4
"we","went","through",4
"we","were","just",4
"we","were","so",4
"we","were","supposed",4
"we","wish","you",4
"we","would","get",4
"we","would","like",4
"wearing","a","white",4
"weather","is","nice",4
"week","after","week",4
"week","for","the",4
"week","is","going",4
"week","it","s",4
"week","it","was",4
"week","of","the",4
"week","or","two",4
"week","will","be",4
"weekend","and","we",4
"weekend","at","the",4
"weekend","we","are",4
"weekend","will","be",4
"welcome","back","to",4
"welcome","thank","you",4
"welcome","to","all",4
"welcome","to","twitter",4
"well","and","good",4
"well","as","in",4
"well","as","our",4
"well","as","some",4
"well","as","your",4
"well","except","for",4
"well","i","think",4
"well","i","was",4
"well","thank","you",4
"well","we","all",4
"went","down","the",4
"went","into","the",4
"went","to","bed",4
"went","to","college",4
"went","to","sleep",4
"were","a","bit",4
"were","a","little",4
"were","a","lot",4
"were","asked","to",4
"were","meant","to",4
"were","part","of",4
"were","the","best",4
"were","to","be",4
"weren","t","for",4
"what","a","night",4
"what","a","wonderful",4
"what","an","honor",4
"what","comes","next",4
"what","did","u",4
"what","does","the",4
"what","doesn","t",4
"what","exactly","is",4
"what","happened","on",4
"what","happened","with",4
"what","happens","if",4
"what","happens","to",4
"what","have","i",4
"what","he","wants",4
"what","i","call",4
"what","i","don’t",4
"what","i","get",4
"what","i","really",4
"what","i","say",4
"what","i’m","saying",4
"what","if","it",4
"what","is","best",4
"what","is","he",4
"what","is","not",4
"what","is","up",4
"what","it","do",4
"what","it","used",4
"what","it’s","like",4
"what","makes","this",4
"what","might","be",4
"what","other","people",4
"what","part","of",4
"what","r","u",4
"what","s","coming",4
"what","s","not",4
"what","s","so",4
"what","seems","like",4
"what","she","does",4
"what","they","can",4
"what","they","say",4
"what","they","were",4
"what","they","would",4
"what","time","are",4
"what","to","eat",4
"what","to","think",4
"what","u","do",4
"what","was","happening",4
"what","we","think",4
"what","we","were",4
"what","will","be",4
"what","will","happen",4
"what","would","be",4
"what","would","happen",4
"what","would","i",4
"what","would","it",4
"what","would","they",4
"what","you","doing",4
"what","you","just",4
"what","you","might",4
"what","you","need",4
"what","you","thought",4
"whatever","it","is",4
"when","are","they",4
"when","are","we",4
"when","did","you",4
"when","everyone","else",4
"when","he","asked",4
"when","he","gets",4
"when","he","got",4
"when","he","had",4
"when","i","asked",4
"when","i","decided",4
"when","i","don’t",4
"when","i","finally",4
"when","i","hear",4
"when","i","lived",4
"when","i","try",4
"when","i","wake",4
"when","i","will",4
"when","i","woke",4
"when","in","a",4
"when","someone","is",4
"when","talking","about",4
"when","the","president",4
"when","the","storm",4
"when","they","got",4
"when","they","lose",4
"when","they","need",4
"when","things","are",4
"when","u","get",4
"when","u","have",4
"when","we","can",4
"when","we","started",4
"when","we","talk",4
"when","you","feel",4
"when","you","leave",4
"when","you","live",4
"when","you","look",4
"when","you","put",4
"when","you","stop",4
"whenever","you","want",4
"where","all","the",4
"where","are","the",4
"where","he","had",4
"where","i","got",4
"where","i","live",4
"where","i","m",4
"where","i","thought",4
"where","in","the",4
"where","it","was",4
"where","oh","where",4
"where","r","u",4
"where","s","my",4
"where","there","were",4
"where","they","are",4
"where","to","find",4
"where","we","can",4
"where","we","have",4
"where","we","will",4
"whether","you","re",4
"which","comes","from",4
"which","has","always",4
"which","i","had",4
"which","i","ve",4
"which","in","turn",4
"which","is","more",4
"which","is","still",4
"which","might","be",4
"which","turned","out",4
"which","was","the",4
"while","listening","to",4
"while","looking","for",4
"while","since","i",4
"while","the","other",4
"while","this","is",4
"while","waiting","for",4
"while","we","waited",4
"white","house","and",4
"who","are","trying",4
"who","cares","if",4
"who","couldn","t",4
"who","grew","up",4
"who","had","to",4
"who","has","done",4
"who","have","no",4
"who","have","suffered",4
"who","is","also",4
"who","is","your",4
"who","made","the",4
"who","might","have",4
"who","ran","the",4
"who","s","boss",4
"who","s","excited",4
"who","told","me",4
"who","wants","a",4
"who","would","take",4
"who","wrote","the",4
"whoever","it","is",4
"whole","lot","better",4
"whole","thing","is",4
"whom","i","have",4
"why","did","the",4
"why","do","my",4
"why","do","people",4
"why","do","they",4
"why","does","it",4
"why","he","s",4
"why","i","don’t",4
"why","is","a",4
"why","is","the",4
"why","not","have",4
"why","not","take",4
"why","thank","you",4
"why","we","re",4
"why","why","why",4
"why","won","t",4
"will","appear","in",4
"will","be","accepting",4
"will","be","good",4
"will","be","more",4
"will","be","ok",4
"will","be","taking",4
"will","be","tweeting",4
"will","do","it",4
"will","do","thanks",4
"will","get","my",4
"will","keep","my",4
"will","leave","you",4
"will","let","me",4
"will","love","it",4
"will","never","happen",4
"will","no","longer",4
"will","not","stop",4
"will","return","to",4
"will","soon","be",4
"will","start","to",4
"will","take","the",4
"will","vote","for",4
"will","win","the",4
"willing","to","give",4
"win","one","of",4
"wine","and","a",4
"winners","will","be",4
"wish","i","can",4
"wish","we","were",4
"wish","you","a",4
"wishing","i","had",4
"wishing","i","was",4
"with","a","bottle",4
"with","a","chance",4
"with","a","full",4
"with","a","heavy",4
"with","a","knife",4
"with","a","look",4
"with","a","much",4
"with","a","very",4
"with","all","its",4
"with","and","at",4
"with","and","i",4
"with","at","least",4
"with","but","i",4
"with","cooking","spray",4
"with","each","of",4
"with","her","i",4
"with","his","new",4
"with","his","wife",4
"with","it","you",4
"with","its","own",4
"with","just","a",4
"with","me","that",4
"with","me","this",4
"with","me","tonight",4
"with","most","of",4
"with","my","eyes",4
"with","my","favorite",4
"with","my","hair",4
"with","my","life",4
"with","my","phone",4
"with","my","sister",4
"with","only","a",4
"with","only","one",4
"with","regard","to",4
"with","salt","and",4
"with","such","a",4
"with","that","said",4
"with","the","baby",4
"with","the","big",4
"with","the","dragon",4
"with","the","flow",4
"with","the","former",4
"with","the","ipad",4
"with","the","little",4
"with","this","guy",4
"with","too","much",4
"with","us","the",4
"with","very","little",4
"with","which","i",4
"with","yet","another",4
"with","you","-",4
"with","you","for",4
"with","you","my",4
"with","you","not",4
"without","a","doubt",4
"without","further","ado",4
"without","it","i",4
"woke","up","at",4
"woman","on","the",4
"women","in","their",4
"won","t","come",4
"won","t","go",4
"won","t","tell",4
"won","t","want",4
"won’t","be","able",4
"wonder","how","much",4
"wonder","if","the",4
"wonder","if","this",4
"wonder","if","we",4
"word","of","god",4
"words","of","the",4
"work","and","a",4
"work","and","the",4
"work","but","i",4
"work","but","it",4
"work","from","home",4
"work","it","s",4
"work","of","art",4
"work","of","the",4
"work","on","it",4
"work","on","your",4
"work","this","is",4
"work","to","the",4
"work","together","to",4
"work","with","a",4
"work","with","us",4
"worked","as","a",4
"worked","together","to",4
"working","from","home",4
"working","full","time",4
"working","on","getting",4
"working","on","that",4
"world","and","the",4
"world","is","the",4
"world","it","s",4
"worried","about","how",4
"worth","every","penny",4
"would","be","better",4
"would","be","easy",4
"would","be","helpful",4
"would","be","interesting",4
"would","be","just",4
"would","be","really",4
"would","do","if",4
"would","do","it",4
"would","do","that",4
"would","ever","want",4
"would","expect","from",4
"would","give","me",4
"would","happen","if",4
"would","hate","to",4
"would","like","a",4
"would","look","at",4
"would","look","like",4
"would","make","the",4
"would","mean","so",4
"would","only","be",4
"would","that","be",4
"would","they","be",4
"would","think","i",4
"would","think","that",4
"would","you","choose",4
"would","you","rather",4
"wouldn","t","make",4
"wow","i","ve",4
"wow","just","wow",4
"wow","so","much",4
"wow","thanks","for",4
"wrapped","in","a",4
"writing","a","book",4
"writing","a","new",4
"written","all","over",4
"wrong","that","i",4
"wrong","with","you",4
"y","all","go",4
"yea","i","know",4
"yeah","he","s",4
"yeah","i","just",4
"yeah","i","was",4
"year","and","i",4
"year","and","you",4
"year","but","i",4
"year","for","me",4
"year","i","ve",4
"year","it","was",4
"year","s","resolutions",4
"years","ago","but",4
"years","ago","in",4
"years","and","it",4
"years","it","was",4
"years","of","being",4
"years","of","my",4
"years","on","the",4
"years","or","so",4
"years","to","get",4
"years","when","i",4
"yep","it","s",4
"yes","i","have",4
"yes","i","ll",4
"yes","of","course",4
"yes","we","do",4
"yes","we","have",4
"yes","you","do",4
"yes","you","will",4
"yesterday","and","i",4
"yet","here","i",4
"yet","i","still",4
"yet","to","see",4
"york","city","in",4
"york","city","is",4
"you","a","great",4
"you","a","shout",4
"you","a","very",4
"you","about","a",4
"you","all","do",4
"you","all","that",4
"you","and","that",4
"you","and","this",4
"you","are","awesome",4
"you","are","correct",4
"you","are","just",4
"you","are","like",4
"you","are","missing",4
"you","are","out",4
"you","are","playing",4
"you","are","running",4
"you","are","there",4
"you","are","what",4
"you","as","a",4
"you","as","an",4
"you","as","you",4
"you","ask","for",4
"you","be","in",4
"you","can","create",4
"you","can","easily",4
"you","can","follow",4
"you","can","join",4
"you","can","look",4
"you","can","order",4
"you","can","stop",4
"you","can","to",4
"you","can","watch",4
"you","could","just",4
"you","could","make",4
"you","could","say",4
"you","could","use",4
"you","dm","me",4
"you","do","this",4
"you","don’t","know",4
"you","don’t","need",4
"you","feel","that",4
"you","find","out",4
"you","find","something",4
"you","find","the",4
"you","find","them",4
"you","for","coming",4
"you","for","taking",4
"you","for","you",4
"you","get","in",4
"you","get","into",4
"you","get","up",4
"you","get","when",4
"you","give","up",4
"you","go","on",4
"you","guys","at",4
"you","guys","to",4
"you","have","all",4
"you","have","already",4
"you","have","come",4
"you","have","for",4
"you","have","got",4
"you","have","more",4
"you","have","not",4
"you","have","questions",4
"you","have","tried",4
"you","have","until",4
"you","hear","a",4
"you","hear","that",4
"you","hit","me",4
"you","i","am",4
"you","i","don",4
"you","i","ve",4
"you","if","it",4
"you","it","is",4
"you","just","do",4
"you","just","had",4
"you","just","love",4
"you","just","want",4
"you","keep","your",4
"you","knew","how",4
"you","know","anything",4
"you","know","he",4
"you","know","in",4
"you","know","me",4
"you","know","of",4
"you","know","she",4
"you","know","those",4
"you","know","to",4
"you","let","me",4
"you","let","us",4
"you","like","a",4
"you","like","i",4
"you","like","my",4
"you","like","them",4
"you","like","your",4
"you","ll","just",4
"you","ll","need",4
"you","made","me",4
"you","made","the",4
"you","make","my",4
"you","may","get",4
"you","missed","it",4
"you","missed","the",4
"you","next","week",4
"you","not","only",4
"you","only","have",4
"you","pick","up",4
"you","probably","know",4
"you","put","a",4
"you","put","me",4
"you","re","amazing",4
"you","re","an",4
"you","re","from",4
"you","re","good",4
"you","re","pretty",4
"you","re","such",4
"you","re","telling",4
"you","re","thinking",4
"you","re","tired",4
"you","re","watching",4
"you","read","the",4
"you","really","like",4
"you","said","to",4
"you","see","on",4
"you","seen","the",4
"you","should","see",4
"you","should","try",4
"you","shouldn","t",4
"you","show","me",4
"you","so","i",4
"you","sound","like",4
"you","that","is",4
"you","that","was",4
"you","that","we",4
"you","think","are",4
"you","think","he",4
"you","think","will",4
"you","this","is",4
"you","to","eat",4
"you","to","follow",4
"you","to","make",4
"you","to","meet",4
"you","to","play",4
"you","to","see",4
"you","to","your",4
"you","tonight","at",4
"you","used","to",4
"you","ve","ever",4
"you","ve","seen",4
"you","ve","won",4
"you","want","but",4
"you","want","in",4
"you","want","my",4
"you","want","people",4
"you","want","something",4
"you","were","going",4
"you","what","i",4
"you","will","love",4
"you","will","want",4
"you","would","still",4
"you","would","think",4
"you","you","know",4
"you’ve","got","a",4
"your","ability","to",4
"your","body","is",4
"your","email","address",4
"your","head","and",4
"your","job","is",4
"your","life","and",4
"your","life","that",4
"your","life","you",4
"your","mind","and",4
"your","name","is",4
"your","story","is",4
"your","support","of",4
"your","time","and",4
"your","twitter","profile",4
"your","voice","is",4
"your","week","is",4
"your","work","is",4
"--","it","s",3
"-","and","then",3
"-","as","a",3
"-","at","least",3
"-","but","for",3
"-","but","i",3
"-","but","it",3
"-","didn","t",3
"-","do","you",3
"-","glad","you",3
"-","i","can",3
"-","i","hope",3
"-","i","know",3
"-","i","went",3
"-","i","wish",3
"-","if","i",3
"-","let","s",3
"-","lots","of",3
"-","not","a",3
"-","on","the",3
"-","one","of",3
"-","rolling","into",3
"-","thanks","to",3
"-","the","best",3
"-","the","one",3
"-","they","can",3
"-","we","are",3
"-","we","get",3
"-","we","have",3
"-","you","are",3
"-","you","re",3
"–","and","then",3
"–","but","that",3
"–","i","was",3
"–","it","is",3
"–","you","can’t",3
"#rt","if","you",3
"$20","gift","certificate",3
"&","a","half",3
"&","be","sure",3
"&","can","t",3
"&","get","a",3
"&","i","am",3
"&","i","can",3
"&","i","met",3
"&","i","was",3
"&","i","were",3
"&","if","you",3
"&","let","s",3
"&","no","one",3
"&","thank","you",3
"&","that","i",3
"&","we","ll",3
"‘you","must","be",3
"“","i","just",3
"“","i","love",3
"“","i","m",3
"“","is","it",3
"“","oh","you",3
"“","s/o","to",3
"“","thanks","for",3
"“","you","can",3
"“i","don’t","know",3
"“let","them","be",3
"“poor","and","sorrowful",3
"“there","is","no",3
"“what","are","you",3
"”","according","to",3
"”","he","told",3
"”","i","ask",3
"”","i","think",3
"”","no","one",3
"<3","hope","you",3
"000","a","year",3
"1","000","likes",3
"1","2","3",3
"1","2","billion",3
"1","5","hours",3
"1","corinthians","15",3
"1","gas","mark",3
"1","in","4",3
"1","of","their",3
"1","or","2",3
"1","out","of",3
"1","peter","3",3
"1/2","cup","of",3
"1/4","cup","of",3
"1/4","of","the",3
"10","00","pm",3
"10","30","am",3
"10","days","of",3
"10","minutes","at",3
"11","11","wish",3
"11","30","am",3
"11","of","the",3
"11","wish","is",3
"13","year","old",3
"14","2012","at",3
"15","minutes","and",3
"15","p","m",3
"16","today","please",3
"1st","day","of",3
"2","00","pm",3
"2","a","m",3
"2","and","3",3
"2","days","ago",3
"2","days","i",3
"2","days","left",3
"2","dc","in",3
"2","do","you",3
"2","i","am",3
"2","i","love",3
"2","in","the",3
"2","nights","in",3
"2","on","the",3
"2","p","m",3
"2","the","end",3
"20","years","ago",3
"2012","nfl","draft",3
"21","years","of",3
"29","at","the",3
"3","and","4",3
"3","days","ago",3
"3","days","of",3
"3","hours","of",3
"3","of","the",3
"3","or","more",3
"3","year","old",3
"30","am","to",3
"30","and","i",3
"30","minutes","to",3
"30","years","of",3
"4","p","m",3
"4","year","old",3
"40%","of","the",3
"4th","be","with",3
"5","feet","away",3
"5","minutes","of",3
"5","years","ago",3
"5","years","old",3
"6","00","pm",3
"6","30","p",3
"6","in","the",3
"6","months","ago",3
"6","or","7",3
"7","00","p",3
"7","30","p",3
"7","days","of",3
"7","month","old",3
"7","months","and",3
"7%","of","the",3
"9","p","m",3
"9%","of","the",3
"99%","of","the",3
"a","$20","gift",3
"a","12","year",3
"a","14","year",3
"a","6","pack",3
"a","baby","shower",3
"a","bad","bitch",3
"a","bad","day",3
"a","bad","habit",3
"a","bar","of",3
"a","baseball","bat",3
"a","basketball","player",3
"a","better","job",3
"a","big","boy",3
"a","big","one",3
"a","big","part",3
"a","big","reason",3
"a","big","step",3
"a","big","thumbs",3
"a","bit","and",3
"a","bit","better",3
"a","bit","in",3
"a","bit","late",3
"a","bit","on",3
"a","black","man",3
"a","blast","i",3
"a","boy","and",3
"a","break","for",3
"a","built","in",3
"a","busy","day",3
"a","call","at",3
"a","call","back",3
"a","car","and",3
"a","car","at",3
"a","car","in",3
"a","car","that",3
"a","car","with",3
"a","cell","phone",3
"a","challenge","for",3
"a","challenge","to",3
"a","chance","and",3
"a","child","and",3
"a","child","of",3
"a","choice","between",3
"a","christmas","story",3
"a","closer","look",3
"a","comment","about",3
"a","comment","below",3
"a","commitment","to",3
"a","company","called",3
"a","complete","waste",3
"a","component","of",3
"a","concert","in",3
"a","conference","call",3
"a","contract","with",3
"a","conversation","with",3
"a","country","ham",3
"a","country","where",3
"a","couple","months",3
"a","course","of",3
"a","craft","beer",3
"a","crock","pot",3
"a","cross","between",3
"a","crucial","role",3
"a","damn","good",3
"a","dark","and",3
"a","date","with",3
"a","day","for",3
"a","day","like",3
"a","decision","to",3
"a","delight","to",3
"a","die","cut",3
"a","difference","but",3
"a","different","direction",3
"a","different","place",3
"a","digital","camera",3
"a","dining","room",3
"a","disconnect","between",3
"a","distraction","from",3
"a","do","over",3
"a","doctor","in",3
"a","dog","that",3
"a","dollar","for",3
"a","doubt","the",3
"a","drag","queen",3
"a","dream","come",3
"a","dream","where",3
"a","dress","to",3
"a","drink","in",3
"a","drive","to",3
"a","fabulous","day",3
"a","fair","amount",3
"a","family","member",3
"a","far","more",3
"a","feeling","of",3
"a","few","different",3
"a","few","dollars",3
"a","few","i",3
"a","few","ideas",3
"a","few","in",3
"a","few","inches",3
"a","few","quick",3
"a","few","short",3
"a","few","shots",3
"a","few","steps",3
"a","few","with",3
"a","fight","with",3
"a","first","class",3
"a","flood","of",3
"a","foreign","country",3
"a","foreign","language",3
"a","free","copy",3
"a","free","society",3
"a","freight","train",3
"a","fresh","new",3
"a","friend","s",3
"a","friend","that",3
"a","friend","to",3
"a","fuck","about",3
"a","full","bottle",3
"a","full","day",3
"a","full","moon",3
"a","full","nights",3
"a","fun","way",3
"a","girl","can",3
"a","girl","for",3
"a","girl","has",3
"a","girl","i",3
"a","girl","is",3
"a","girl","or",3
"a","giveaway","on",3
"a","good","amount",3
"a","good","and",3
"a","good","deal",3
"a","good","enough",3
"a","good","feeling",3
"a","good","look",3
"a","good","person",3
"a","good","point",3
"a","good","reason",3
"a","good","show",3
"a","good","word",3
"a","great","addition",3
"a","great","afternoon",3
"a","great","and",3
"a","great","cause",3
"a","great","chat",3
"a","great","christmas",3
"a","great","coach",3
"a","great","concept",3
"a","great","conversation",3
"a","great","experience",3
"a","great","friday",3
"a","great","friend",3
"a","great","looking",3
"a","great","lunch",3
"a","great","meeting",3
"a","great","opportunity",3
"a","great","player",3
"a","great","post",3
"a","great","summer",3
"a","great","thing",3
"a","great","voice",3
"a","great","year",3
"a","grilled","cheese",3
"a","guest","on",3
"a","guest","pass",3
"a","guy","in",3
"a","half","hours",3
"a","half","of",3
"a","hell","of",3
"a","history","of",3
"a","hit","of",3
"a","hockey","game",3
"a","home","for",3
"a","home","run",3
"a","homeless","man",3
"a","huge","thanks",3
"a","hundred","years",3
"a","husband","and",3
"a","job","now",3
"a","jump","on",3
"a","kick","ass",3
"a","kick","in",3
"a","kid","the",3
"a","kid","you",3
"a","lady","in",3
"a","large","saucepan",3
"a","late","start",3
"a","later","date",3
"a","letter","from",3
"a","letter","in",3
"a","letter","to",3
"a","level","of",3
"a","lifetime","of",3
"a","limited","number",3
"a","limited","time",3
"a","little","cocky",3
"a","little","easier",3
"a","little","excited",3
"a","little","extra",3
"a","little","further",3
"a","little","longer",3
"a","little","of",3
"a","little","strange",3
"a","little","to",3
"a","little","tricky",3
"a","little","warm",3
"a","long","ass",3
"a","long","journey",3
"a","long","list",3
"a","long","walk",3
"a","long","while",3
"a","look","of",3
"a","lost","cause",3
"a","lot","at",3
"a","lot","from",3
"a","lot","going",3
"a","lot","longer",3
"a","lot","that",3
"a","love","for",3
"a","love","goddess",3
"a","m","and",3
"a","m","the",3
"a","m","today",3
"a","man","like",3
"a","man","named",3
"a","man","that",3
"a","man","whose",3
"a","marriage","and",3
"a","means","to",3
"a","medium","bowl",3
"a","meeting","is",3
"a","meeting","with",3
"a","message","of",3
"a","million","times",3
"a","mission","to",3
"a","model","for",3
"a","moment","before",3
"a","monday","night",3
"a","month","and",3
"a","month","i",3
"a","month","in",3
"a","month","left",3
"a","month","of",3
"a","month","or",3
"a","more","thoughtful",3
"a","move","to",3
"a","movie","about",3
"a","movie","and",3
"a","movie","with",3
"a","much","better",3
"a","much","higher",3
"a","multitude","of",3
"a","must","read",3
"a","name","that",3
"a","nation","of",3
"a","nation","that",3
"a","new","account",3
"a","new","album",3
"a","new","baby",3
"a","new","challenge",3
"a","new","look",3
"a","new","orleans",3
"a","new","post",3
"a","new","sense",3
"a","new","server",3
"a","new","set",3
"a","new","town",3
"a","new","world",3
"a","nice","dinner",3
"a","nice","person",3
"a","nod","to",3
"a","normal","life",3
"a","novel","to",3
"a","party","at",3
"a","party","for",3
"a","party","with",3
"a","passion","for",3
"a","path","to",3
"a","perfect","day",3
"a","perfect","example",3
"a","perfect","match",3
"a","person","and",3
"a","person","gets",3
"a","person","i",3
"a","ph","d",3
"a","phone","call",3
"a","picky","eater",3
"a","place","and",3
"a","plastic","bag",3
"a","playoff","game",3
"a","plethora","of",3
"a","plus","but",3
"a","portion","of",3
"a","position","to",3
"a","positive","and",3
"a","positive","attitude",3
"a","positive","thing",3
"a","prayer","for",3
"a","press","release",3
"a","pretty","awesome",3
"a","princess","i",3
"a","prize","for",3
"a","problem","i",3
"a","problem","of",3
"a","public","place",3
"a","public","service",3
"a","question","of",3
"a","quick","and",3
"a","quick","note",3
"a","quote","by",3
"a","race","to",3
"a","racist","if",3
"a","real","winner",3
"a","really","big",3
"a","reason","and",3
"a","reason","why",3
"a","recipe","for",3
"a","recurring","theme",3
"a","red","light",3
"a","red","sox",3
"a","reference","to",3
"a","reminder","of",3
"a","response","from",3
"a","ride","in",3
"a","ride","on",3
"a","ride","to",3
"a","road","trip",3
"a","root","beer",3
"a","round","of",3
"a","rush","of",3
"a","sample","of",3
"a","sampling","of",3
"a","second","i",3
"a","second","term",3
"a","second","to",3
"a","separate","bowl",3
"a","serious","problem",3
"a","shadow","of",3
"a","short","while",3
"a","shot","of",3
"a","show","at",3
"a","shower","and",3
"a","side","note",3
"a","significant","amount",3
"a","silver","lining",3
"a","six","pack",3
"a","small","plate",3
"a","smart","phone",3
"a","smile","to",3
"a","social","network",3
"a","society","that",3
"a","song","by",3
"a","song","that",3
"a","song","to",3
"a","special","day",3
"a","special","place",3
"a","stack","of",3
"a","staple","in",3
"a","stop","to",3
"a","storm","smile",3
"a","story","-",3
"a","story","of",3
"a","story","you",3
"a","strange","way",3
"a","stroll","through",3
"a","struggle","against",3
"a","sudden","i",3
"a","sudden","there",3
"a","sudden","you",3
"a","sunday","morning",3
"a","super","cool",3
"a","supporter","of",3
"a","sweet","little",3
"a","swift","kick",3
"a","symbol","of",3
"a","table","for",3
"a","tale","of",3
"a","taste","for",3
"a","team","that",3
"a","teaspoon","of",3
"a","teeny","bit",3
"a","thank","you",3
"a","theory","that",3
"a","thing","about",3
"a","thing","or",3
"a","thing","to",3
"a","third","party",3
"a","ticket","to",3
"a","time","a",3
"a","time","and",3
"a","time","machine",3
"a","tool","for",3
"a","tool","to",3
"a","twitter","account",3
"a","very","beautiful",3
"a","very","different",3
"a","very","interesting",3
"a","very","old",3
"a","very","productive",3
"a","very","real",3
"a","video","on",3
"a","violation","of",3
"a","vision","of",3
"a","visit","to",3
"a","vote","for",3
"a","vote","of",3
