"unigram","bigram","trigram","freq"
"used","to","be",49
"want","to","do",49
"what","i","m",49
"what","s","up",49
"and","i","ll",48
"and","then","i",48
"don","t","you",48
"even","though","i",48
"have","no","idea",48
"i","was","going",48
"i","wonder","if",48
"that","you","can",48
"the","back","of",48
"the","idea","of",48
"the","only","one",48
"to","be","able",48
"up","to","the",48
"and","i","love",47
"and","it","is",47
"be","a","good",47
"didn","t","have",47
"for","all","the",47
"i","m","on",47
"in","the","end",47
"it","s","just",47
"there","s","no",47
"to","talk","to",47
"will","be","the",47
"you","are","a",47
"are","you","going",46
"be","in","the",46
"but","i","am",46
"but","i","can",46
"for","a","few",46
"here","are","some",46
"i","d","like",46
"i","ll","have",46
"i","love","this",46
"i","think","you",46
"if","it","s",46
"needs","to","be",46
"out","of","my",46
"please","follow","me",46
"what","s","the",46
"a","group","of",45
"around","the","world",45
"don","t","care",45
"he","didn","t",45
"i","got","to",45
"i","m","glad",45
"i","thought","it",45
"i","was","just",45
"i","was","so",45
"in","a","few",45
"in","terms","of",45
"know","what","i",45
"like","i","m",45
"on","my","way",45
"that","is","the",45
"that","s","why",45
"to","tell","you",45
"wish","i","could",45
"you","know","that",45
"you","ll","be",45
"and","of","course",44
"and","that","s",44
"didn","t","get",44
"haven","t","been",44
"i","get","a",44
"is","a","great",44
"just","don","t",44
"me","and","i",44
"that","i","had",44
"that","it","s",44
"the","name","of",44
"the","only","thing",44
"there","are","a",44
"to","see","how",44
"was","one","of",44
"all","of","them",43
"away","from","the",43
"can","t","get",43
"do","you","know",43
"have","to","say",43
"i","can","do",43
"i","did","not",43
"i","love","my",43
"i","m","really",43
"i","m","sorry",43
"in","my","head",43
"is","the","most",43
"it","has","been",43
"it","s","going",43
"members","of","the",43
"of","all","the",43
"of","the","new",43
"of","the","week",43
"out","in","the",43
"over","the","years",43
"thank","you","to",43
"that","i","would",43
"the","same","thing",43
"to","find","out",43
"was","able","to",43
"are","you","doing",42
"every","time","i",42
"give","me","a",42
"have","you","been",42
"have","you","ever",42
"he","s","a",42
"i","try","to",42
"many","of","the",42
"see","you","there",42
"some","of","my",42
"supposed","to","be",42
"take","care","of",42
"that","you","have",42
"the","same","way",42
"this","is","not",42
"this","is","what",42
"to","try","to",42
"up","with","a",42
"when","i","get",42
"a","few","weeks",41
"and","you","can",41
"bit","of","a",41
"don","t","need",41
"has","been","a",41
"hope","to","see",41
"how","much","i",41
"i","can","see",41
"i","have","never",41
"is","the","only",41
"know","it","s",41
"let","us","know",41
"m","not","sure",41
"on","the","road",41
"one","of","them",41
"t","have","a",41
"that","s","all",41
"to","figure","out",41
"top","of","the",41
"we","are","all",41
"will","be","in",41
"you","know","i",41
"you","re","welcome",41
"a","few","years",40
"a","good","thing",40
"a","little","more",40
"by","the","time",40
"don","t","let",40
"get","out","of",40
"has","to","be",40
"i","am","going",40
"i","would","love",40
"of","course","i",40
"on","the","phone",40
"s","what","i",40
"seems","to","be",40
"that","is","a",40
"that","was","a",40
"that","you","are",40
"the","other","day",40
"to","see","if",40
"you","and","your",40
"a","number","of",39
"but","that","s",39
"can","t","be",39
"don","t","miss",39
"for","me","i",39
"for","you","to",39
"get","back","to",39
"happy","new","year",39
"i","love","your",39
"i","m","getting",39
"if","i","had",39
"in","your","life",39
"it","s","time",39
"more","than","a",39
"one","of","these",39
"that","they","are",39
"that","we","are",39
"the","story","of",39
"the","time","i",39
"the","way","to",39
"thought","it","was",39
"to","do","a",39
"to","get","back",39
"to","talk","about",39
"was","the","first",39
"we","want","to",39
"went","to","the",39
"what","s","your",39
"you","have","any",39
"you","re","going",39
"a","few","more",38
"a","good","time",38
"and","a","half",38
"at","this","point",38
"d","love","to",38
"do","you","want",38
"feel","free","to",38
"for","some","reason",38
"going","to","get",38
"going","to","have",38
"i","am","the",38
"i","like","the",38
"i","think","we",38
"in","the","house",38
"is","such","a",38
"more","and","more",38
"much","as","i",38
"on","the","floor",38
"on","top","of",38
"that","was","the",38
"the","next","day",38
"the","number","of",38
"the","one","who",38
"the","opportunity","to",38
"the","way","i",38
"there","was","no",38
"to","do","the",38
"will","not","be",38
"and","i","think",37
"and","i","ve",37
"for","the","mention",37
"front","of","the",37
"he","is","a",37
"i","am","in",37
"i","get","to",37
"i","had","the",37
"i","m","the",37
"is","a","very",37
"is","that","the",37
"it","was","so",37
"let","you","know",37
"new","york","city",37
"the","bottom","of",37
"time","to","get",37
"to","be","on",37
"to","create","a",37
"to","me","and",37
"a","few","days",36
"a","lot","more",36
"according","to","the",36
"am","going","to",36
"and","i","had",36
"and","that","is",36
"are","in","the",36
"at","least","i",36
"had","to","be",36
"have","been","a",36
"he","was","a",36
"i","should","be",36
"in","the","back",36
"is","the","first",36
"know","i","m",36
"my","life","i",36
"t","know","how",36
"the","new","york",36
"thought","i","d",36
"to","do","is",36
"to","get","it",36
"to","get","my",36
"to","get","out",36
"to","meet","you",36
"to","see","a",36
"you","can","get",36
"you","didn","t",36
"you","re","in",36
"a","few","hours",35
"all","of","my",35
"and","all","the",35
"any","of","the",35
"as","i","was",35
"because","i","m",35
"but","if","you",35
"can","t","even",35
"give","it","a",35
"great","to","see",35
"happy","mothers","day",35
"i","just","got",35
"if","i","could",35
"it","can","be",35
"it","might","be",35
"it","on","the",35
"know","if","you",35
"know","what","you",35
"ll","have","to",35
"or","at","least",35
"s","a","great",35
"shout","out","to",35
"so","you","can",35
"that","i","ve",35
"the","best","of",35
"to","all","of",35
"to","look","at",35
"to","take","the",35
"to","use","the",35
"to","work","with",35
"want","to","get",35
"was","a","great",35
"what","kind","of",35
"where","are","you",35
"wouldn","t","be",35
"you","going","to",35
"you","know","you",35
"a","sense","of",34
"and","the","other",34
"as","a","result",34
"but","i","love",34
"day","of","the",34
"due","to","the",34
"even","if","it",34
"had","a","good",34
"happy","mother","s",34
"i","m","doing",34
"i","think","they",34
"in","a","while",34
"in","the","next",34
"it","feels","like",34
"it","isn","t",34
"know","what","to",34
"on","how","to",34
"one","of","our",34
"out","to","the",34
"s","a","good",34
"t","think","i",34
"the","ability","to",34
"the","beginning","of",34
"the","kind","of",34
"the","only","way",34
"the","power","of",34
"to","deal","with",34
"to","do","that",34
"to","get","some",34
"want","you","to",34
"welcome","to","the",34
"what","it","is",34
"wish","i","was",34
"would","be","the",34
"a","fan","of",33
"a","picture","of",33
"a","ton","of",33
"all","of","you",33
"and","don","t",33
"and","i","are",33
"be","on","the",33
"didn","t","want",33
"get","to","the",33
"hope","you","re",33
"i","d","love",33
"i","have","the",33
"i","m","pretty",33
"is","not","the",33
"let","s","get",33
"make","sure","you",33
"may","not","be",33
"of","people","who",33
"so","i","have",33
"so","proud","of",33
"t","forget","to",33
"that","doesn","t",33
"that","there","is",33
"the","last","time",33
"to","listen","to",33
"to","think","about",33
"to","watch","the",33
"was","in","the",33
"what","you","think",33
"when","it","s",33
"working","on","a",33
"you","know","it",33
"a","great","weekend",32
"are","a","few",32
"as","part","of",32
"at","least","one",32
"at","some","point",32
"be","one","of",32
"because","it","s",32
"but","i","ll",32
"but","i","was",32
"but","i","will",32
"can","i","get",32
"come","up","with",32
"did","you","know",32
"don","t","understand",32
"for","a","great",32
"happy","birthday","to",32
"have","to","get",32
"i","know","you",32
"i","see","you",32
"in","addition","to",32
"in","the","uk",32
"it","is","to",32
"it","should","be",32
"just","a","few",32
"me","and","my",32
"me","i","m",32
"much","for","the",32
"see","you","in",32
"seem","to","be",32
"so","it","s",32
"that","he","was",32
"that","s","not",32
"that","you","re",32
"the","other","side",32
"this","is","my",32
"to","be","an",32
"to","go","back",32
"to","have","the",32
"to","work","on",32
"wait","for","the",32
"we","ll","see",32
"which","is","a",32
"while","i","was",32
"a","matter","of",31
"a","variety","of",31
"and","in","the",31
"at","the","top",31
"can","t","do",31
"don","t","be",31
"don’t","want","to",31
"down","to","the",31
"for","all","of",31
"i","could","be",31
"i","don’t","know",31
"i","know","what",31
"i","tried","to",31
"if","you","like",31
"if","you","need",31
"in","the","future",31
"it","didn","t",31
"it","makes","me",31
"it","was","an",31
"it","was","just",31
"just","can","t",31
"lot","of","people",31
"love","you","too",31
"middle","of","the",31
"now","it","s",31
"of","the","night",31
"over","and","over",31
"part","of","a",31
"should","be","a",31
"so","excited","to",31
"sounds","like","a",31
"that","i","could",31
"that","this","is",31
"the","hunger","games",31
"the","people","who",31
"to","check","out",31
"to","do","this",31
"to","have","to",31
"to","see","my",31
"was","a","good",31
"we","can","t",31
"well","as","the",31
"what","a","great",31
"what","is","your",31
"you","are","the",31
"you","can","do",31
"you","do","not",31
"you","re","the",31
"all","kinds","of",30
"all","of","our",30
"and","you","will",30
"doesn","t","have",30
"doesn","t","mean",30
"don","t","make",30
"don","t","worry",30
"for","the","day",30
"for","the","past",30
"for","the","rest",30
"going","to","do",30
"he","doesn","t",30
"i","have","an",30
"in","a","row",30
"in","the","city",30
"in","the","country",30
"is","about","to",30
"it","s","my",30
"let","s","see",30
"live","in","a",30
"my","way","to",30
"need","to","do",30
"of","the","way",30
"on","the","radio",30
"rt","if","you",30
"s","been","a",30
"say","that","i",30
"so","we","can",30
"that","he","is",30
"the","other","hand",30
"the","size","of",30
"there","are","some",30
"they","have","a",30
"they","want","to",30
"to","say","the",30
"want","to","know",30
"we","ve","got",30
"what","happened","to",30
"what","is","the",30
"wish","i","had",30
"you","haven","t",30
"you","in","the",30
"”","he","said",29
"a","list","of",29
"and","have","a",29
"and","they","are",29
"are","the","best",29
"because","i","have",29
"because","they","are",29
"come","back","to",29
"figure","out","how",29
"for","a","new",29
"have","a","wonderful",29
"i","had","no",29
"i","have","had",29
"i","hope","i",29
"i","ll","get",29
"i","m","at",29
"i","m","thinking",29
"if","you","do",29
"if","you","think",29
"is","what","i",29
"isn","t","it",29
"it","i","m",29
"it","is","so",29
"it","it","s",29
"it","looks","like",29
"it","to","be",29
"just","need","to",29
"just","wanted","to",29
"make","sure","to",29
"nothing","to","do",29
"of","course","the",29
"of","the","other",29
"oh","my","god",29
"out","how","to",29
"out","of","it",29
"out","on","the",29
"that","s","my",29
"the","age","of",29
"the","amount","of",29
"the","way","you",29
"they","have","to",29
"this","was","a",29
"time","to","go",29
"to","everyone","who",29
"to","say","i",29
"to","think","that",29
"way","to","the",29
"we","went","to",29
"when","you","are",29
"with","all","the",29
"you","for","your",29
"you","get","the",29
"you","won","t",29
"a","look","at",28
"a","piece","of",28
"a","series","of",28
"all","sorts","of",28
"and","i","know",28
"and","now","i",28
"as","you","can",28
"but","i","don",28
"come","to","the",28
"could","have","been",28
"do","the","same",28
"get","rid","of",28
"give","you","a",28
"glad","to","hear",28
"have","to","wait",28
"haven","t","seen",28
"i","have","ever",28
"i","hope","to",28
"i","m","trying",28
"i","still","have",28
"i","was","thinking",28
"i","will","have",28
"in","a","way",28
"is","just","a",28
"is","like","a",28
"it","s","about",28
"it","s","hard",28
"it","s","really",28
"it","was","great",28
"member","of","the",28
"much","of","the",28
"right","now","i",28
"so","much","more",28
"thank","you","i",28
"thanks","for","sharing",28
"that","there","are",28
"the","day","i",28
"the","sound","of",28
"there","is","nothing",28
"this","is","why",28
"to","have","you",28
"to","those","who",28
"today","is","the",28
"we","are","in",28
"we","didn","t",28
"why","are","you",28
"you","can","find",28
"you","get","a",28
"you","guys","are",28
"a","bit","more",27
"all","is","well",27
"along","with","the",27
"and","this","is",27
"back","on","the",27
"being","able","to",27
"but","don","t",27
"but","this","is",27
"by","the","end",27
"feel","like","a",27
"follow","me","back",27
"for","a","couple",27
"for","those","of",27
"forward","to","the",27
"had","no","idea",27
"have","to","make",27
"hope","you","are",27
"i","had","been",27
"i","hate","when",27
"if","it","was",27
"in","the","car",27
"in","the","new",27
"is","on","the",27
"is","so","much",27
"it","but","i",27
"it","s","always",27
"like","to","be",27
"like","to","see",27
"looks","like","a",27
"love","to","see",27
"me","if","you",27
"me","in","the",27
"much","of","a",27
"next","time","i",27
"nice","to","see",27
"not","so","much",27
"now","i","can",27
"of","the","first",27
"people","who","are",27
"reminds","me","of",27
"so","much","to",27
"stay","tuned","for",27
"t","know","if",27
"the","center","of",27
"the","history","of",27
"to","be","more",27
