"unigram","bigram","trigram","quadgram","freq"
"i","m","going","to",156
"can","t","wait","to",152
"i","don","t","know",152
"thanks","for","the","follow",108
"the","end","of","the",97
"for","the","first","time",87
"at","the","end","of",84
"i","don","t","think",84
"don","t","want","to",77
"i","can","t","wait",74
"is","going","to","be",74
"the","rest","of","the",74
"if","you","don","t",70
"is","one","of","the",70
"i","don","t","have",69
"at","the","same","time",68
"can","t","wait","for",62
"going","to","be","a",60
"one","of","the","most",59
"thank","you","for","the",59
"in","the","middle","of",58
"thanks","for","the","rt",58
"when","it","comes","to",56
"don","t","have","to",54
"i","don","t","want",54
"one","of","the","best",54
"thank","you","so","much",52
"if","you","want","to",50
"don","t","know","what",48
"t","wait","to","see",48
"to","be","able","to",48
"one","of","my","favorite",47
"what","do","you","think",45
"i","don","t","like",43
"i","m","not","sure",41
"i","was","going","to",40
"i","would","like","to",40
"i","d","like","to",39
"i","feel","like","i",39
"i","think","it","s",39
"a","bit","of","a",37
"it","s","going","to",37
"i","want","to","be",36
"i","think","i","m",35
"as","much","as","i",34
"happy","mother","s","day",34
"you","don","t","have",34
"don","t","forget","to",33
"don","t","think","i",33
"i","just","want","to",33
"s","going","to","be",33
"are","you","going","to",32
"don","t","know","how",32
"hope","to","see","you",32
"i","am","going","to",32
"that","s","what","i",32
"as","well","as","the",31
"the","middle","of","the",31
"a","lot","of","people",30
"i","have","no","idea",30
"on","the","other","hand",30
"thanks","so","much","for",30
"have","a","great","day",29
"i","can","t","believe",29
"i","don","t","even",29
"i","wish","i","could",29
"but","i","don","t",28
"for","the","rest","of",28
"i","would","love","to",28
"in","front","of","the",28
"thanks","for","the","mention",28
"was","one","of","the",28
"do","you","want","to",27
"on","my","way","to",27
"so","much","for","the",27
"what","are","you","doing",27
"and","i","can","t",26
"by","the","end","of",26
"i","thought","it","was",26
"the","fact","that","i",26
"you","don","t","know",26
"you","re","going","to",26
"do","you","have","a",25
"don","t","know","if",25
"i","d","love","to",25
"i","know","it","s",25
"it","s","been","a",25
"let","me","know","if",25
"thank","you","for","your",25
"the","name","of","the",25
"to","go","to","the",25
"but","i","can","t",24
"don","t","have","a",24
"don","t","know","why",24
"had","a","great","time",24
"i","didn","t","know",24
"i","m","not","a",24
"i","was","able","to",24
"is","one","of","my",24
"the","top","of","the",24
"a","little","bit","of",23
"i","have","to","say",23
"i","wish","i","had",23
"in","the","united","states",23
"it","s","time","to",23
"you","so","much","for",23
"bmw","service","center","california",22
"but","i","m","not",22
"didn","t","want","to",22
"hope","you","have","a",22
"i","can","t","even",22
"i","don","t","care",22
"i","don","t","get",22
"i","have","to","go",22
"i","wish","i","was",22
"it","s","a","great",22
"it","was","a","good",22
"looking","forward","to","the",22
"most","of","the","time",22
"thanks","for","the","#ff",22
"the","back","of","the",22
"the","bmw","service","center",22
"the","first","time","in",22
"there","are","so","many",22
"and","i","don","t",21
"as","soon","as","i",21
"hope","all","is","well",21
"i","am","not","a",21
"i","haven","t","been",21
"i","just","don","t",21
"i","ll","have","to",21
"i","want","to","see",21
"if","you","have","a",21
"if","you","have","any",21
"in","the","first","place",21
"in","the","u","s",21
"thanks","for","the","shout",21
"that","i","don","t",21
"you","don","t","want",21
"be","one","of","the",20
"figure","out","how","to",20
"hate","hate","hate","hate",20
"have","a","great","weekend",20
"i","look","forward","to",20
"i","m","about","to",20
"i","m","not","going",20
"i","m","pretty","sure",20
"i","m","so","glad",20
"i","need","to","get",20
"i","won","t","be",20
"if","you","haven","t",20
"in","the","form","of",20
"nothing","to","do","with",20
"the","bottom","of","the",20
"to","get","rid","of",20
"want","to","go","to",20
"was","going","to","be",20
"for","a","couple","of",19
"for","those","of","you",19
"from","time","to","time",19
"i","didn","t","get",19
"i","didn","t","have",19
"i","ll","be","there",19
"in","front","of","me",19
"it","s","hard","to",19
"on","the","other","side",19
"on","the","way","to",19
"the","first","time","i",19
"to","be","one","of",19
"to","go","back","to",19
"we","don","t","have",19
"a","lot","of","the",18
"a","part","of","the",18
"all","of","a","sudden",18
"are","going","to","be",18
"end","of","the","day",18
"feel","like","i","m",18
"great","to","see","you",18
"i","don","t","need",18
"i","know","i","m",18
"i","m","in","the",18
"i","m","so","excited",18
"i","want","to","do",18
"i","want","to","go",18
"if","you","can","t",18
"in","my","life","i",18
"know","what","to","do",18
"makes","me","want","to",18
"should","be","able","to",18
"to","get","out","of",18
"we","re","going","to",18
"what","s","your","favorite",18
"will","be","able","to",18
"a","few","weeks","ago",17
"as","one","of","the",17
"at","the","top","of",17
"can","i","get","a",17
"did","you","know","that",17
"for","the","shout","out",17
"going","to","have","to",17
"i","m","trying","to",17
"i","really","need","to",17
"if","i","don","t",17
"if","you","are","a",17
"in","the","midst","of",17
"not","be","able","to",17
"so","i","decided","to",17
"that","awkward","moment","when",17
"the","fact","that","the",17
"to","be","a","good",17
"to","be","in","the",17
"to","figure","out","how",17
"to","get","back","to",17
"would","love","to","see",17
"would","you","like","to",17
"you","are","going","to",17
"you","want","to","be",17
"a","great","way","to",16
"a","lot","of","fun",16
"at","the","beginning","of",16
"because","i","don","t",16
"don","t","have","the",16
"have","no","idea","what",16
"have","to","go","to",16
"i","can","t","get",16
"i","really","don","t",16
"i","think","i","have",16
"if","you","are","interested",16
"it","s","a","good",16
"m","going","to","be",16
"me","i","don","t",16
"me","know","if","you",16
"some","of","the","most",16
"t","know","what","to",16
"thanks","for","the","support",16
"that","s","why","i",16
"there","are","a","few",16
"there","will","be","a",16
"to","get","to","the",16
"trying","to","figure","out",16
"turned","out","to","be",16
"what","s","going","on",16
"you","have","a","great",16
"you","just","have","to",16
"a","couple","of","weeks",15
"as","a","result","of",15
"can","t","believe","i",15
"have","a","lot","of",15
"hope","you","had","a",15
"i","love","you","too",15
"i","m","so","happy",15
"i","m","sure","you",15
"i","think","i","ll",15
"in","a","long","time",15
"in","a","way","that",15
"it","was","great","to",15
"looking","forward","to","a",15
"not","going","to","be",15
"on","the","back","of",15
"out","of","the","way",15
"so","i","don","t",15
"some","of","the","best",15
"t","want","to","be",15
"the","beginning","of","the",15
"the","only","thing","that",15
"the","only","way","to",15
"this","is","why","i",15
"those","of","you","who",15
"thought","it","would","be",15
"to","hear","from","you",15
"to","say","the","least",15
"want","to","be","a",15
"what","is","your","favorite",15
"you","don","t","need",15
"you","for","the","follow",15
"you","know","what","i",15
"a","chance","to","win",14
"a","lot","of","time",14
"a","member","of","the",14
"all","over","the","world",14
"as","far","as","i",14
"as","long","as","you",14
"at","the","bottom","of",14
"but","i","think","it",14
"find","a","way","to",14
"for","some","reason","i",14
"how","have","you","been",14
"i","can","t","help",14
"i","don","t","understand",14
"i","m","glad","you",14
"i","m","not","the",14
"i","m","on","the",14
"i","miss","you","too",14
"i","really","want","to",14
"i","think","it","was",14
"i","thought","i","d",14
"i","thought","i","would",14
"in","new","york","city",14
"in","the","back","of",14
"know","what","you","think",14
"looking","forward","to","it",14
"m","not","going","to",14
"mother","s","day","to",14
"nice","to","meet","you",14
"over","and","over","again",14
"s","a","lot","of",14
"t","have","to","be",14
"take","the","time","to",14
"thank","you","for","following",14
"the","center","of","the",14
"the","last","time","i",14
"this","is","one","of",14
"to","do","with","the",14
"wait","to","see","you",14
"we","are","going","to",14
"with","a","lot","of",14
"a","couple","of","times",13
"are","a","lot","of",13
"are","you","coming","to",13
"didn","t","have","to",13
"don","t","even","know",13
"don","t","need","to",13
"don","t","think","so",13
"i","had","no","idea",13
"i","hate","it","when",13
"i","have","to","admit",13
"i","just","can","t",13
"i","love","you","so",13
"i","m","talking","about",13
"i","ve","ever","seen",13
"i","ve","got","a",13
"if","you","would","like",13
"it","s","gonna","be",13
"it","s","not","a",13
"it","was","just","a",13
"it","would","be","a",13
"it","would","have","been",13
"keep","up","the","good",13
"let","me","know","what",13
"looking","forward","to","seeing",13
"might","be","able","to",13
"one","of","the","reasons",13
"plenty","of","time","to",13
"t","know","how","to",13
"t","know","what","i",13
"take","a","look","at",13
"thanks","for","following","me",13
"that","i","can","t",13
"the","best","way","to",13
"the","first","day","of",13
"the","manhattan","kansas","motels",13
"the","middle","of","a",13
"the","other","side","of",13
"the","power","of","the",13
"the","rest","of","my",13
"the","way","to","the",13
"there","are","a","lot",13
"this","is","going","to",13
"this","is","the","first",13
"to","give","it","a",13
"to","talk","to","you",13
"to","the","end","of",13
"up","the","good","work",13
"when","i","was","a",13
"will","let","you","know",13
"would","love","to","hear",13
"you","are","interested","in",13
"you","have","to","do",13
"you","want","to","go",13
"you","would","like","to",13
"a","big","fan","of",12
"a","few","months","ago",12
"and","a","lot","of",12
"as","well","as","a",12
"at","the","very","least",12
"at","this","point","i",12
"be","a","good","day",12
"but","i","didn","t",12
"but","i","have","to",12
"can","t","believe","it",12
"don","t","give","a",12
"don","t","you","think",12
"get","a","chance","to",12
"go","back","to","the",12
"had","a","lot","of",12
"have","to","do","is",12
"here","are","a","few",12
"i","didn","t","want",12
"i","don","t","really",12
"i","don","t","see",12
"i","feel","like","a",12
"i","had","a","dream",12
"i","have","to","do",12
"i","just","had","to",12
"i","love","you","and",12
"i","m","a","little",12
"i","m","glad","i",12
"i","m","sure","i",12
"i","m","tired","of",12
"i","was","in","the",12
"if","i","had","a",12
"if","you","do","not",12
"in","addition","to","the",12
"in","one","of","the",12
"in","the","near","future",12
"in","the","same","way",12
"it","is","time","to",12
"it","s","not","even",12
"it","s","one","of",12
"it","s","time","for",12
"it","was","a","great",12
"just","got","back","from",12
"looking","forward","to","your",12
"love","you","so","much",12
"new","year","s","eve",12
"no","such","thing","as",12
"on","a","daily","basis",12
"once","in","a","while",12
"one","of","my","favourite",12
"one","of","the","few",12
"re","going","to","be",12
"t","wait","to","get",12
"thank","you","to","all",12
"thanks","for","the","love",12
"thanks","for","the","retweet",12
"the","heart","of","the",12
"the","hell","out","of",12
"the","last","couple","of",12
"the","new","york","times",12
"the","only","one","who",12
"the","rest","of","us",12
"the","size","of","the",12
"there","is","so","much",12
"this","is","what","i",12
"those","of","us","who",12
"to","be","part","of",12
"to","go","on","a",12
"to","make","up","for",12
"to","share","with","you",12
"to","take","care","of",12
"we","can","t","wait",12
"we","d","love","to",12
"what","s","up","with",12
"won","t","let","me",12
"you","have","a","good",12
"you","have","to","be",12
"you","re","having","a",12
"you","re","the","best",12
"a","long","time","ago",11
"and","i","m","sure",11
"and","the","rest","of",11
"as","part","of","the",11
"at","the","age","of",11
"back","in","the","day",11
"be","a","part","of",11
"but","i","had","to",11
"day","to","all","the",11
"do","you","have","any",11
"do","you","have","to",11
"don","t","talk","to",11
"for","a","chance","to",11
"for","all","of","the",11
"for","the","most","part",11
"for","the","sake","of",11
"have","a","good","day",11
"have","a","hard","time",11
"have","to","say","that",11
"i","can","t","do",11
"i","didn","t","even",11
"i","don","t","do",11
"i","don","t","wanna",11
"i","have","yet","to",11
"i","just","need","to",11
"i","just","wanted","to",11
"i","ll","be","back",11
"i","m","working","on",11
"i","need","to","be",11
"i","need","to","do",11
"i","really","wanted","to",11
"i","think","i","would",11
"i","think","it","is",11
"i","thought","i","was",11
"i","ve","had","a",11
"i","ve","never","been",11
"i","want","you","to",11
"i","wanted","to","do",11
"i","was","a","little",11
"i","went","to","the",11
"if","you","re","going",11
"if","you","re","not",11
"in","a","couple","of",11
"in","the","process","of",11
"it","s","the","only",11
"it","will","be","a",11
"looks","like","i","m",11
"no","matter","how","much",11
"not","the","only","one",11
"of","my","favorite","things",11
"of","my","life","i",11
"of","the","united","states",11
"please","let","me","know",11
"see","if","i","can",11
"thank","you","to","everyone",11
"thank","you","very","much",11
"thanks","for","following","us",11
"that","there","is","no",11
"that","you","have","to",11
"the","last","thing","i",11
"the","story","of","the",11
"there","s","a","lot",11
"think","i","m","gonna",11
"to","check","it","out",11
"to","figure","out","what",11
"to","go","to","work",11
"to","say","that","i",11
"wait","to","see","what",11
"we","went","to","the",11
"when","i","was","in",11
"who","s","going","to",11
"why","don","t","you",11
"you","d","like","to",11
"you","don","t","even",11
"you","know","you","re",11
"you","please","follow","me",11
"a","few","years","ago",10
"a","look","at","the",10
"a","lot","of","things",10
"an","hour","and","a",10
"and","i","had","a",10
"and","i","need","to",10
"and","i","will","be",10
"and","one","of","the",10
"as","long","as","i",10
"be","able","to","get",10
"but","i","m","sure",10
"but","i","think","i",10
"but","it","is","a",10
"by","the","time","i",10
"can","t","help","but",10
"cant","wait","to","see",10
"decided","to","make","a",10
"don","t","feel","like",10
"don","t","know","who",10
"don","t","miss","out",10
"don","t","think","it",10
"end","of","the","year",10
"fell","in","love","with",10
"for","quite","some","time",10
"glad","you","liked","it",10
"had","a","chance","to",10
"happy","mothers","day","to",10
"has","nothing","to","do",10
"have","a","great","time",10
"have","no","idea","how",10
"haven","t","been","on",10
"hope","you","re","having",10
"hour","and","a","half",10
"how","much","i","love",10
"i","am","not","sure",10
"i","can","t","stand",10
"i","don","t","feel",10
"i","know","i","know",10
"i","ll","be","in",10
"i","m","just","a",10
"i","m","looking","forward",10
"i","m","not","really",10
"i","m","not","saying",10
"i","m","on","my",10
"i","think","i","just",10
"i","think","i","might",10
"i","think","i","ve",10
"i","thought","it","would",10
"i","thought","you","were",10
"i","wouldn","t","be",10
"if","they","don","t",10
"if","you","d","like",10
"if","you","re","a",10
"if","you","re","in",10
"in","a","few","hours",10
"in","a","good","way",10
"in","need","of","a",10
"in","the","center","of",10
"in","the","mood","for",10
"in","the","name","of",10
"in","the","real","world",10
"is","it","just","me",10
"it","is","hard","to",10
"it","s","a","beautiful",10
"it","s","good","to",10
"it","s","my","birthday",10
"it","s","not","like",10
"it","took","me","a",10
"it","was","going","to",10
"know","what","i","m",10
"let","s","do","it",10
"let","s","see","what",10
"lots","and","lots","of",10
"m","going","to","start",10
"m","looking","forward","to",10
"matt","hunter","matt","hunter",10
"may","or","may","not",10
"mean","the","world","to",10
"north","dakota","home","school",10
"not","looking","forward","to",10
"on","the","way","home",10
"on","top","of","the",10
"once","upon","a","time",10
"one","of","the","first",10
"over","the","course","of",10
"right","in","front","of",10
"s","one","of","the",10
"s","what","i","m",10
"so","i","can","get",10
"so","i","have","to",10
"so","proud","of","you",10
"so","that","you","can",10
"stuck","in","my","head",10
"t","wait","for","the",10
"t","want","to","go",10
"thanks","for","all","the",10
"thanks","for","the","rts",10
"thanks","to","everyone","who",10
"that","i","have","a",10
"that","i","m","not",10
"that","s","a","good",10
"that","you","don","t",10
"the","back","of","my",10
"the","edge","of","the",10
"the","good","news","is",10
"the","north","dakota","home",10
"the","only","thing","i",10
"the","side","of","the",10
"the","state","of","the",10
"the","world","to","me",10
"they","don","t","have",10
"think","i","m","going",10
"to","do","with","it",10
"to","get","to","know",10
"to","go","to","a",10
"to","go","to","school",10
"to","hang","out","with",10
"to","keep","up","with",10
"to","learn","how","to",10
"to","let","you","know",10
"to","see","you","at",10
"wait","to","see","the",10
"we","are","in","the",10
"we","don","t","know",10
"what","do","you","do",10
"what","i","want","to",10
"what","is","going","on",10
"who","is","going","to",10
"will","be","at","the",10
"will","be","in","the",10
"you","and","your","family",10
"you","don","t","get",10
"you","don","t","like",10
"you","had","a","great",10
"you","have","any","questions",10
"you","like","to","see",10
"you","will","have","to",10
"-","thanks","for","the",9
"a","couple","of","years",9
"a","friend","of","mine",9
"a","lot","of","money",9
"all","my","new","followers",9
"all","over","the","place",9
"am","i","the","only",9
"and","every","one","of",9
"are","some","of","the",9
"are","you","doing","to",9
"as","you","can","see",9
"be","sure","to","check",9
"but","that","doesn","t",9
"do","i","have","to",9
"don","t","get","me",9
"don","t","let","the",9
"don","t","like","the",9
"don","t","need","a",9
"feel","the","same","way",9
"for","a","while","and",9
"for","the","heads","up",9
"going","to","be","in",9
"going","to","be","the",9
"had","a","dream","about",9
"had","a","good","time",9
"had","a","great","day",9
"happy","valentine","s","day",9
"have","a","great","week",9
"have","to","worry","about",9
"how","to","do","it",9
"hunter","matt","hunter","matt",9
"i","am","trying","to",9
"i","can","t","be",9
"i","can","t","find",9
"i","can","t","remember",9
"i","can","t","see",9
"i","can","t","take",9
"i","feel","the","same",9
"i","got","to","see",9
"i","guess","that","s",9
"i","have","never","been",9
"i","have","so","much",9
"i","haven","t","seen",9
"i","hope","you","have",9
"i","just","have","to",9
"i","know","what","you",9
"i","ll","have","a",9
"i","ll","send","you",9
"i","love","you","<3",9
"i","m","a","big",9
"i","m","a","bit",9
"i","m","gonna","be",9
"i","m","such","a",9
"i","might","have","to",9
"i","need","to","go",9
"i","think","i","will",9
"i","want","to","get",9
"i","want","to","thank",9
"i","was","a","kid",9
"if","i","can","get",9
"if","i","can","t",9
"if","there","is","a",9
"if","you","are","in",9
"if","you","live","in",9
"in","a","bit","of",9
"in","a","few","weeks",9
"in","order","to","get",9
"in","the","face","of",9
"in","the","hands","of",9
"in","time","for","the",9
"is","part","of","the",9
"is","that","it","is",9
"is","the","fact","that",9
"it","is","going","to",9
"it","just","me","or",9
"it","s","a","little",9
"it","s","great","to",9
"it","s","just","a",9
"it","s","nice","to",9
"it","used","to","be",9
"it","was","a","very",9
"it","won","t","be",9
"its","going","to","be",9
"just","don","t","know",9
"just","wanted","to","say",9
"let","us","know","if",9
"love","the","way","you",9
"m","going","to","try",9
"nice","to","see","you",9
"not","a","fan","of",9
"not","sure","if","i",9
"now","i","can","t",9
"of","one","of","the",9
"on","a","regular","basis",9
"on","the","west","coast",9
"one","of","the","many",9
"one","of","the","more",9
"over","the","past","few",9
"s","day","to","all",9
"some","of","my","favorite",9
"st","patrick","s","day",9
"t","be","able","to",9
"t","wait","to","hear",9
"that","i","am","not",9
"that","i","have","been",9
"that","i","wouldn","t",9
"that","s","all","i",9
"the","fact","that","we",9
"the","majority","of","the",9
"the","shit","out","of",9
"the","size","of","a",9
"the","sound","of","the",9
"the","start","of","the",9
"the","united","states","and",9
"there","is","a","lot",9
"think","it","would","be",9
"this","is","a","good",9
"this","is","not","a",9
"to","be","on","the",9
"to","check","out","the",9
"to","find","a","way",9
"to","me","and","i",9
"to","tell","you","that",9
"want","to","talk","to",9
"was","the","first","time",9
"we","had","a","great",9
"we","live","in","a",9
"what","i","m","doing",9
"what","would","you","like",9
"who","do","you","think",9
"why","i","don","t",9
"with","the","exception","of",9
"you","are","having","a",9
"you","can","do","it",9
"you","going","to","be",9
"you","know","how","to",9
"you","know","i","m",9
"a","few","of","the",8
"a","glass","of","wine",8
"a","lot","of","work",8
"a","matter","of","time",8
"a","whole","lot","of",8
"about","the","fact","that",8
"all","i","have","to",8
"and","a","couple","of",8
"and","i","couldn","t",8
"and","i","didn","t",8
"and","i","have","a",8
"and","i","love","it",8
"and","i","m","still",8
"and","of","course","the",8
"and","thank","you","for",8
"are","one","of","the",8
"are","we","going","to",8
"as","much","as","the",8
"as","soon","as","possible",8
"at","the","start","of",8
"be","able","to","do",8
"but","i","have","a",8
"but","i","ll","be",8
"but","i","think","they",8
"but","i","won","t",8
"couldn","t","be","more",8
"d","like","to","see",8
"day","of","the","year",8
"didn","t","get","a",8
"didn","t","get","to",8
"do","not","want","to",8
"do","you","know","what",8
"do","you","think","that",8
"doesn","t","mean","you",8
"don","t","know","about",8
"don","t","know","i",8
"don","t","know","the",8
"don","t","understand","how",8
"each","and","every","one",8
"end","of","the","world",8
"feel","like","i","am",8
"feel","the","need","to",8
"felt","like","i","was",8
"follow","me","on","twitter",8
"for","a","long","time",8
"for","a","while","but",8
"for","as","long","as",8
"for","coming","out","to",8
"for","the","follow","and",8
"for","the","purpose","of",8
"give","it","a","try",8
"glad","to","hear","it",8
"going","to","try","to",8
"got","a","lot","of",8
"had","the","opportunity","to",8
"happy","birthday","to","my",8
"hard","to","believe","that",8
"have","a","chance","to",8
"have","a","good","time",8
"have","to","be","a",8
"he","was","going","to",8
"hope","everyone","had","a",8
"hope","everyone","has","a",8
"hope","you","feel","better",8
"how","do","you","feel",8
"i","am","in","the",8
"i","can","t","say",8
"i","can","t","sleep",8
"i","can","think","of",8
"i","couldn","t","get",8
"i","decided","to","make",8
"i","didn","t","see",8
"i","don’t","want","to",8
"i","felt","like","i",8
"i","had","a","great",8
"i","had","to","do",8
"i","have","decided","to",8
"i","have","ever","seen",8
"i","have","to","get",8
"i","hope","you","re",8
"i","just","woke","up",8
"i","learned","how","to",8
"i","ll","see","you",8
"i","ll","tell","you",8
"i","love","the","way",8
"i","m","in","a",8
"i","m","just","going",8
"i","m","not","gonna",8
"i","m","so","sorry",8
"i","m","sorry","i",8
"i","m","sure","it",8
"i","may","have","to",8
"i","need","to","make",8
"i","think","i","am",8
"i","think","i","need",8
"i","think","it","would",8
"i","think","that","s",8
"i","ve","never","had",8
"i","wanted","to","go",8
"i","was","thinking","about",8
"i","wouldn","t","have",8
"i’m","not","going","to",8
"if","i","want","to",8
"if","you","have","to",8
"in","and","out","of",8
"in","front","of","a",8
"in","love","with","the",8
"in","my","life","and",8
"in","other","news","i",8
"in","the","90","s",8
"in","the","case","of",8
"in","the","right","direction",8
"is","a","good","thing",8
"is","by","far","the",8
"is","not","going","to",8
"is","one","of","those",8
"is","what","it","is",8
"it","i","don","t",8
"it","looks","like","i",8
"it","s","a","shame",8
"it","s","like","a",8
"it","would","mean","the",8
"it","wouldn","t","be",8
"john","smith’s","grand","national",8
"just","a","little","bit",8
"keep","an","eye","on",8
"know","how","to","do",8
"know","if","i","can",8
"know","that","i","am",8
"let","me","know","how",8
"like","it","or","not",8
"ll","be","able","to",8
"ll","let","you","know",8
"m","on","my","way",8
"made","it","to","the",8
"make","up","for","it",8
"never","thought","i","d",8
"no","i","don","t",8
"no","matter","how","many",8
"no","matter","what","the",8
"now","i","have","to",8
"occurred","to","me","that",8
"of","the","day","i",8
"of","the","new","york",8
"on","the","east","coast",8
"on","the","edge","of",8
"on","the","phone","with",8
"one","of","the","greatest",8
"one","of","those","days",8
"other","side","of","the",8
"people","in","my","life",8
"please","feel","free","to",8
"s","a","good","thing",8
"s","been","a","while",8
"shut","the","fuck","up",8
"so","i","can","go",8
"so","i","had","to",8
"so","much","for","your",8
"so","that","i","can",8
"something","to","do","with",8
"sorry","to","hear","that",8
"t","know","if","i",8
"t","know","why","i",8
"t","want","you","to",8
"thank","you","for","being",8
"thank","you","for","sharing",8
"thanks","for","the","heads",8
"that","i","have","to",8
"that","moment","when","you",8
"that","s","a","lot",8
"that","there","is","a",8
"the","end","of","a",8
"the","fact","that","you",8
"the","first","half","of",8
"the","first","thing","i",8
"the","front","of","the",8
"the","head","of","the",8
"the","last","few","years",8
"the","meaning","of","the",8
"the","members","of","the",8
"the","next","couple","of",8
"there","were","so","many",8
"to","a","lot","of",8
"to","all","of","our",8
"to","all","of","you",8
"to","be","a","part",8
"to","be","the","most",8
"to","do","the","same",8
"to","find","out","what",8
"to","give","me","a",8
"to","look","forward","to",8
"to","make","a","difference",8
"to","make","sure","i",8
"to","make","sure","that",8
"to","one","of","the",8
"to","say","goodbye","to",8
"to","see","if","i",8
"to","see","so","many",8
"to","see","you","soon",8
"to","see","you","there",8
"to","talk","about","it",8
"to","talk","to","me",8
"to","try","to","get",8
"today","is","the","day",8
"trying","to","find","a",8
"trying","to","get","a",8
"two","and","a","half",8
"up","in","the","morning",8
"want","it","to","be",8
"we","ll","see","you",8
"we","look","forward","to",8
"we","were","going","to",8
"what","are","you","going",8
"what","do","you","call",8
"what","does","it","mean",8
"what","happened","to","the",8
"what","the","hell","is",8
"when","i","get","home",8
"when","you","get","a",8
"where","have","you","been",8
"will","be","the","first",8
"with","some","of","the",8
"would","mean","the","world",8
"x","x","x","x",8
"you","are","one","of",8
"you","can","see","the",8
"you","don’t","have","to",8
"you","get","a","chance",8
"you","know","it","s",8
"you","might","want","to",8
"you","need","to","do",8
"-","it","s","a",7
"a","better","way","to",7
"a","copy","of","the",7
"a","couple","of","days",7
"a","couple","of","hours",7
"a","good","idea","to",7
"a","good","thing","i",7
"a","great","deal","of",7
"a","great","place","to",7
"a","great","time","with",7
"a","huge","fan","of",7
"a","result","of","the",7
"a","wide","range","of",7
"a","work","in","progress",7
"all","the","time","and",7
"all","the","way","through",7
"all","the","way","to",7
"all","you","have","to",7
"am","looking","forward","to",7
"and","don","t","forget",7
"and","i","have","to",7
"and","i","haven","t",7
"and","i","know","that",7
"and","i","want","to",7
"and","it","s","not",7
"and","it","was","a",7
"and","let","me","know",7
"and","most","of","the",7
"and","now","i","m",7
"and","there","is","no",7
"and","you","don","t",7
"anything","to","do","with",7
"are","going","to","have",7
"are","you","talking","about",7
"as","it","turns","out",7
"as","long","as","they",7
"as","soon","as","they",7
"at","a","time","when",7
"at","the","grocery","store",7
"at","the","heart","of",7
"at","the","time","i",7
"at","the","university","of",7
"be","a","lot","of",7
"because","i","have","a",7
"been","a","long","time",7
"been","a","while","since",7
"but","at","least","i",7
"but","i","m","still",7
"but","in","the","end",7
"but","it","s","not",7
"but","it","s","still",7
"but","it","wasn","t",7
"but","now","i","m",7
"but","on","the","other",7
"but","other","than","that",7
"by","the","time","we",7
"can","t","seem","to",7
"can","t","wait","til",7
"check","out","our","new",7
"come","check","it","out",7
"d","love","to","hear",7
"day","of","the","week",7
"despite","the","fact","that",7
"did","a","great","job",7
"did","you","have","a",7
"didn","t","have","a",7
"didn","t","have","any",7
"didn","t","know","it",7
"didn","t","know","you",7
"do","a","great","job",7
"do","the","same","thing",7
"do","you","think","you",7
"does","it","take","to",7
"doesn","t","mean","i",7
"don","t","even","remember",7
"don","t","give","up",7
"don","t","have","any",7
"don","t","have","time",7
"don","t","know","where",7
"don","t","like","him",7
"don","t","think","he",7
"don","t","want","you",7
"even","if","it","means",7
"every","now","and","then",7
"every","one","of","you",7
"first","time","in","a",7
"for","a","few","days",7
"for","a","lot","of",7
"for","me","and","my",7
"for","mother","s","day",7
"for","the","follow","back",7
"for","the","follow","i",7
"for","those","of","us",7
"forward","to","seeing","you",7
"from","all","over","the",7
"from","around","the","world",7
"get","out","of","bed",7
"getting","ready","for","a",7
"going","to","have","a",7
"good","to","hear","from",7
"great","to","meet","you",7
"hard","for","me","to",7
"has","a","lot","of",7
"has","the","power","to",7
"have","been","able","to",7
"have","to","go","through",7
"have","to","tell","you",7
"have","you","ever","been",7
"having","a","hard","time",7
"he","doesn","t","have",7
"he","is","going","to",7
"hope","you","are","having",7
"how","are","you","today",7
"i","am","looking","forward",7
"i","am","so","excited",7
"i","can","t","stop",7
"i","can","tell","you",7
"i","couldn","t","be",7
"i","couldn","t","find",7
"i","d","have","to",7
"i","didn’t","want","to",7
"i","do","not","like",7
"i","don","t","give",7
"i","don","t","mind",7
"i","don","t","remember",7
"i","don’t","know","how",7
"i","had","to","go",7
"i","hate","when","i",7
"i","have","a","hard",7
"i","have","to","be",7
"i","hope","you","all",7
"i","knew","it","was",7
"i","live","in","a",7
"i","ll","give","you",7
"i","ll","keep","you",7
"i","ll","let","you",7
"i","ll","try","to",7
"i","look","at","the",7
"i","m","in","love",7
"i","m","just","gonna",7
"i","m","looking","for",7
"i","m","not","even",7
"i","m","so","bored",7
"i","m","the","only",7
"i","need","to","start",7
"i","really","like","the",7
"i","still","can","t",7
"i","still","don","t",7
"i","the","only","one",7
"i","think","this","is",7
"i","threw","up","because",7
"i","used","to","be",7
"i","ve","been","a",7
"i","ve","been","waiting",7
"i","ve","got","to",7
"i","want","to","know",7
"i","want","to","make",7
"i","want","to","say",7
"i","wanted","to","be",7
"i","will","be","back",7
"i","will","be","in",7
"i","will","have","to",7
"i","will","not","be",7
"i","wish","it","was",7
"if","i","didn","t",7
"if","i","have","to",7
"if","you","have","an",7
"if","you","want","the",7
"in","a","state","of",7
"in","an","attempt","to",7
"in","love","with","you",7
"in","the","long","run",7
"in","the","world","is",7
"in","the","world","of",7
"in","the","world","to",7
"is","a","lot","of",7
"is","going","to","get",7
"is","the","first","time",7
"is","the","last","day",7
